track_id,track_pos,artists,track_name,writers,track_votes
1976_5,6,Drupi,Sambariò,L. Albertelli-E. Riccardi,24
1976_6,7,Carlo Gigli,Più forte,Schiava-C. Gigli,23
1976_7,8,Daniel Sentacruz Ensemble,Linda bella Linda,C. Dammicco- Querencio- Sentacruz-F. Specchia,21
1976_8,9,Gli Opera,L'ho persa ancora,F. Ricciardi- O. Avogadro-D. Pace,20
1976_9,10,Camaleonti,Cuore di vetro,G. Bigazzi-T. Savio,19
1977_0,1,Homo Sapiens,Bella da morire,R. Pareti-A. Salerno,17
1977_1,2,Collage,Tu mi rubi l'anima,G. Padovan-A. De Sanctis,7
1977_2,3,I Santo California,Monica,P. Pinna- G. Simonelli-E. Palumbo,1
1978_0,1,Matia Bazar,...e dirsi ciao,G. Golzi- A. Stellita- P. Cassano- C. Marrale-A. Ruggiero,34
1978_1,2,Anna Oxa,Un'emozione da poco,I. Fossati-G. Guglielminetti,30
1978_2,3,Rino Gaetano,Gianna,R. Gaetano,17
1978_3,4,Ciro Sebastianelli,Il buio e tu,C. Sebastianelli- D. Pace-O. Avogadro,16
1978_4,5,Anselmo Genovese,Tu sola,A. Genovese-L. Capello,12
1978_5,6,Santino Rocchetti,Armonia e poesia,S. Rocchetti-A. Lo Vecchio,11
1978_6,7,Schola Cantorum,Il mio amore,M. Luberti-E. Fusco,9
1978_7,8,Laura Luca,Domani domani,G. Pieretti-A. Nicorelli,4
1978_8,9,Daniel Sentacruz Ensemble,1/2 notte,Zacar- S. Grieco- C. Dammicco-Sentacruz,2
1979_0,1,Mino Vergnaghi,Amare,P. Finà-S. Ortone,1441 (701+740)
1979_1,2,Enzo Carella,Barbara,E. Carella-P. Panella,1257 (702+555)
1979_2,3,I Camaleonti,Quell'attimo in più,M. Lavezzi- O. Avogadro-D. Pace,1256 (619+637)
1979_3,4,Collage,La gente parla,A. De Sanctis- S. Di Nardo-M. Marrocchi,1210 (653+567)
1979_4,5,Enrico Beruschi,Sarà un fiore,D. Pace- C. Conti-M. Panzeri,1196 (647+549)
1979_5,6,Franco Fanigliulo,A me mi piace vivere alla grande,O. Avogadro- R. Borghetti- F. Fanigliulo-D. Pace,1156 (620+536)
1979_6,7,Lorella Pescerelli,New York,F. Migliacci-F. Paulin,1149 (590+559)
1979_7,8,Kim & The Cadillacs,C'era un'atmosfera,A. Stellita-P. Cassano,1054 (570+484)
1979_8,9,Umberto Napolitano,Bimba mia,U. Napolitano,1044 (494+550)
1979_9,10,Pandemonium,Tu fai schifo sempre,A. Giordano- M. Paulicelli-G. Mauro,993 (490+505)
1980_0,1,Toto Cutugno,Solo noi,S. Cutugno,750
1980_1,2,Enzo Malepasso,Ti voglio bene,Depsa-E. Malepasso,650
1980_2,3,Pupo,Su di noi,P. Barabani- D. Milani-E. Ghinazzi,500
1981_0,1,Alice,Per Elisa,C. Bissi- F. Battiato-G. Pio,736
1981_1,2,Loretta Goggi,Maledetta primavera,P. A. Cassella-A. Rosario,700
